generation,id,novelty,score,species,parent1,parent2
249,121972,38.00865040029477,0.2790511200040962,3,121008,121008
250,111053,42.552387182767426,0.3590547450804863,10,110496,110513
251,111053,36.39138115653014,0.3590547450804863,10,110496,110513
252,111053,37.60663129008925,0.3590547450804863,10,110496,110513
253,111053,43.34346405373773,0.3590547450804863,10,110496,110513
254,111053,42.37626398272094,0.3590547450804863,10,110496,110513
255,124972,41.68798294877036,0.2653599160707307,10,124337,124436
256,125401,40.32702631640344,0.019372897200424583,14,125010,125022
257,125908,38.58689737023552,0.4355441377357025,7,125398,125265
258,125908,40.69954092189626,0.4355441377357025,7,125398,125265
259,126839,32.175612853135064,0.27332739714845716,7,126263,126212
260,127340,38.85264970706336,0.4033877245282841,14,126838,126212
261,127771,43.45104013980104,0.0483107128841389,7,127400,127365
262,128220,38.12853422726452,0.37952823604933733,14,127278,127875
263,128751,39.62111754371528,0.21776096763617092,7,128338,128355
264,129384,36.574587016983095,0.4055457869625651,7,128349,128424
265,129833,35.428074882277855,0.4265173840866064,7,129286,129374
266,130348,35.382009650922434,0.2875492966035837,14,129819,129824
267,108853,38.75045782947268,0.2954558525926671,12,102114,107905
268,131004,41.06624724833628,0.6629548467889445,11,129948,130541
269,131004,42.143010659233155,0.6629548467889445,11,129948,130541
270,131004,42.314720310376885,0.6629548467889445,11,129948,130541
271,131004,44.76553897776912,0.6629548467889445,11,129948,130541
272,131004,46.11304065981651,0.6629548467889445,11,129948,130541
273,131004,45.93735853887968,0.6629548467889445,11,129948,130541
274,131004,45.46009784559528,0.6629548467889445,11,129948,130541
275,131004,43.28730567760869,0.6629548467889445,11,129948,130541
276,131004,49.70007997507811,0.6629548467889445,11,129948,130541
277,131004,37.05569682430152,0.6629548467889445,11,129948,130541
278,131004,34.11177611468131,0.6629548467889445,11,129948,130541
279,131004,38.32318224378324,0.6629548467889445,11,129948,130541
280,131004,39.2713594695904,0.6629548467889445,11,129948,130541
281,131004,33.99030622205463,0.6629548467889445,11,129948,130541
282,131004,43.180389028692794,0.6629548467889445,11,129948,130541
283,131004,41.36098783802654,0.6629548467889445,11,129948,130541
284,131004,39.51132820801269,0.6629548467889445,11,129948,130541
285,131004,42.925988982218605,0.6629548467889445,11,129948,130541
286,131004,45.98304634983731,0.6629548467889445,11,129948,130541
287,131004,42.33008464713571,0.6629548467889445,11,129948,130541
288,131004,51.67471110865298,0.6629548467889445,11,129948,130541
289,131004,51.26886184580778,0.6629548467889445,11,129948,130541
290,131004,41.84632707195213,0.6629548467889445,11,129948,130541
291,131004,43.84262980021608,0.6629548467889445,11,129948,130541
292,131004,50.72392031742872,0.6629548467889445,11,129948,130541
293,131004,46.411183308488674,0.6629548467889445,11,129948,130541
294,131004,43.29455141528983,0.6629548467889445,11,129948,130541
295,131004,49.19571839218654,0.6629548467889445,11,129948,130541
296,131004,50.16951436861935,0.6629548467889445,11,129948,130541
297,131004,41.10002081996815,0.6629548467889445,11,129948,130541
298,131004,44.90534809533569,0.6629548467889445,11,129948,130541
299,131004,43.882347824864716,0.6629548467889445,11,129948,130541
300,131004,48.61147750434614,0.6629548467889445,11,129948,130541
301,131004,52.24903487557026,0.6629548467889445,11,129948,130541
302,131004,48.667907760645456,0.6629548467889445,11,129948,130541
303,131004,43.19115828881369,0.6629548467889445,11,129948,130541
304,131004,51.22362521697972,0.6629548467889445,11,129948,130541
305,131004,44.372630532435586,0.6629548467889445,11,129948,130541
306,131004,45.231743621905885,0.6629548467889445,11,129948,130541
307,131004,37.52050167803216,0.6629548467889445,11,129948,130541
308,131004,51.01451486612762,0.6629548467889445,11,129948,130541
